NAV_Date,SBI_Bluechip,SBI_FocusedEq,Axis_Equity,CanaraRobeco_Bluechip,ICICI_FocusedEq,Franklin_Bluechip,Kotak_Bluechip,Kotak_Flexicap,UTI_Bond,AdityaBirla_Debt,HDFC_Debt,SBI_Debt,SBI_Arbitrage,Kotak_Bond,Kotak_EqArbitrage,HDFC_EqH,SBI_EqH,AdityaBirla_EqH,Franklin_EqH,Kotak_DebtHybrid
31-01-2013,1.009,0.9828,0.9858,1.0058,1.0151,1.0127,1.0262,0.9884,1.0159,1.0079,1.0074,1.0089,1.01,1.0095,1.0102,0.9983,1.0213,1.0075,1.0103,1.0089
28-02-2013,0.959,0.9226,0.9597,0.9444,0.9355,0.9522,0.9405,0.9434,1.0029,1.0051,1.0037,0.9854,1.008,1.0039,1.0068,0.9163,0.9633,0.9548,0.9613,0.9923
28-03-2013,0.9959,0.9596,0.9968,0.9948,0.9827,0.981,0.9903,0.9757,1.0084,1.0117,1.0079,1.0045,1.0059,1.0042,1.0062,0.9805,0.9828,0.9847,0.9856,0.9978
30-04-2013,1.0337,1.0292,1.0458,1.0403,1.0399,1.0339,1.0443,1.0442,1.0201,1.0099,1.0125,1.0208,1.0084,1.0217,1.0085,1.0179,1.0253,1.0385,1.0324,1.0183
31-05-2013,0.9952,1.0063,1.0211,0.9917,0.982,0.9943,0.9856,1.0054,1.0228,1.0126,1.0086,1.002,1.0046,1.0258,1.0056,0.9616,1.021,0.9954,1.0202,1.0148
28-06-2013,0.9744,0.941,0.978,0.9781,0.9843,0.9754,0.9807,0.979,0.9903,1.0012,0.9997,0.9901,1.0068,0.9909,1.0066,0.9466,0.9688,0.9769,0.9716,0.9869
31-07-2013,0.9663,0.9301,0.979,0.9949,0.9746,0.9604,0.9524,0.9795,0.9718,0.9862,0.9783,0.9683,1.0064,0.9536,1.0022,0.9373,0.9754,0.9668,0.9703,0.956
30-08-2013,0.9521,0.9546,0.9587,0.9649,0.983,0.9571,0.9485,0.9671,0.9781,0.9986,0.9956,0.9847,1.0086,0.9787,1.0066,0.9788,0.9703,0.9845,0.9516,0.9788
30-09-2013,1.0461,1.0333,1.0413,1.0237,1.0362,1.0463,1.0352,1.0303,0.9998,1.016,1.0174,1.0255,1.0066,0.9958,1.0091,1.0385,1.0293,1.0326,1.0367,1.0258
31-10-2013,1.0865,1.0382,1.0873,1.0767,1.0939,1.0914,1.1141,1.0952,1.0172,1.0155,1.0137,1.0282,1.0082,1.019,1.009,1.1214,1.0634,1.0655,1.0722,1.0354
29-11-2013,0.9888,1.0369,1.0347,0.9739,0.9895,0.9828,0.969,0.9791,0.9908,1.0052,1.0059,0.9948,1.0072,0.9972,1.0078,1.0113,1.024,0.9946,0.9999,1.0007
31-12-2013,1.0215,1.0346,1.0234,1.0129,1.0262,1.0178,1.012,1.0268,0.9992,1.0075,1.0061,1.0044,1.0071,1.0014,1.0079,1.0306,1.0272,1.0228,1.0109,1.0116
31-01-2014,0.9818,0.9595,0.9706,0.9601,0.9599,0.9621,0.9694,0.9632,1.0064,1.0064,1.006,0.9935,1.0091,1.0049,1.0099,0.9437,0.9743,0.9736,0.9801,0.9958
28-02-2014,1.0421,1.0135,1.0661,1.0411,1.0404,1.0314,1.049,1.0499,0.999,1.0052,1.005,1.0155,1.0062,0.9999,1.0063,1.0381,1.0165,1.0372,1.0355,1.0105
31-03-2014,1.0599,1.0786,1.0823,1.0756,1.0901,1.0859,1.0673,1.0717,1.0141,1.0119,1.0124,1.0293,1.0055,1.0122,1.0067,1.1153,1.0642,1.0719,1.0639,1.0261
30-04-2014,1.0031,1.0249,1.0131,1.0083,1.0028,0.9897,1.0015,1.0078,1.016,1.009,1.0083,1.0081,1.0074,1.0142,1.0085,1.0203,1.025,1.0136,1.003,1.0072
30-05-2014,1.0889,1.1037,1.1001,1.0921,1.0875,1.0898,1.0822,1.1145,1.0181,1.0119,1.0121,1.03,1.0086,1.0237,1.0088,1.1499,1.0564,1.0975,1.0699,1.0352
30-06-2014,1.0595,1.0784,1.0658,1.0261,1.0358,1.0356,1.0465,1.0463,1.0098,1.0088,1.0067,1.0096,1.0068,1.0057,1.0071,1.071,1.0569,1.0484,1.0439,1.0131
31-07-2014,1.0127,1.0262,1.0282,1.0013,1.0079,1.0065,1.0011,0.9998,0.9996,1.0041,1.0051,1.0012,1.0088,1.0012,1.0081,0.9704,1.0203,0.9956,1.0163,1.0011
28-08-2014,1.0539,1.0416,1.0706,1.0512,1.0611,1.0455,1.0645,1.0644,1.0055,1.0055,1.0054,1.0164,1.0059,1.002,1.005,1.054,1.0482,1.0374,1.0443,1.0152
30-09-2014,1.0163,1.025,1.0233,0.9926,0.9931,0.9949,0.9974,1.0142,1.0069,1.0086,1.0084,1.0025,1.0065,1.0106,1.0076,0.993,1.0189,1.0124,1.0225,1.0131
31-10-2014,1.0428,1.0124,1.047,1.0473,1.0533,1.0576,1.0568,1.055,1.0237,1.0128,1.0136,1.0255,1.0061,1.0271,1.0065,1.0422,1.0262,1.0405,1.0451,1.0247
28-11-2014,1.0371,1.0391,1.0441,1.0344,1.0371,1.0411,1.0381,1.0561,1.0166,1.0098,1.0086,1.0153,1.0052,1.0155,1.0047,1.0417,1.0359,1.0453,1.0422,1.0172
31-12-2014,0.9943,1.0315,1.0139,0.9793,0.9668,0.9765,0.9889,1.0006,1.0184,1.0081,1.0073,0.9973,1.0066,1.0155,1.0066,0.983,1.0176,1.0112,1.009,1.008
30-01-2015,1.0611,1.0404,1.0556,1.0639,1.057,1.0614,1.0785,1.067,1.0221,1.0101,1.0124,1.0231,1.0076,1.0237,1.0068,1.0388,1.0556,1.0391,1.0534,1.0219
27-02-2015,1.0135,0.9845,1.0085,1.0017,0.9967,1.0033,1.0087,0.9901,1.0006,1.0061,1.0032,0.9996,1.0072,0.9988,1.0075,0.9884,0.9881,0.9998,0.9935,0.9995
31-03-2015,0.9804,0.9825,0.9874,0.9567,0.9425,0.9679,0.9507,0.9502,1.002,1.0078,1.0059,0.9964,1.0084,1.0002,1.0088,0.9398,0.9864,0.9705,0.9832,0.997
