NAV_Date,Axis_Equity,CanaraRobeco_Bluechip,Franklin_Bluechip,ICICI_FocusedEq,Kotak_Bluechip,Kotak_Flexicap,SBI_Bluechip,SBI_FocusedEq,AdityaBirla_EqHybrid,Franklin_EqHybrid,HDFC_EqHybrid,SBI_EqHybrid,Kotak_EqArbitrage,SBI_Arbitrage
01-Jan-13,14.9149,12.02,238.3444,15.2,111.103,13.381,16.72,61.46,348.92,55.1533,28.957,56.72,16.9361,15.6467
02-Jan-13,15.0251,12.12,239.4819,15.33,111.73,13.478,16.82,61.91,350.97,55.2697,29.227,56.96,16.9652,15.673
03-Jan-13,15.0732,12.14,240.4495,15.39,112.126,13.483,16.85,62.49,352.69,55.5012,29.316,57.58,16.961,15.6752
04-Jan-13,15.0695,12.15,240.8853,15.41,112.697,13.488,16.87,62.5,353.1,55.5513,29.381,57.66,16.9658,15.6725
07-Jan-13,15.037,12.11,240.7141,15.35,112.706,13.464,16.8,62.36,352.5,55.6576,29.348,57.71,16.9742,15.6829
08-Jan-13,15.057,12.12,240.9102,15.38,112.822,13.489,16.83,62.11,352.5,55.672,29.279,57.73,16.9707,15.681
09-Jan-13,14.994,12.08,240.8127,15.35,112.723,13.461,16.79,62.03,352.03,55.6852,29.228,57.81,16.9924,15.6934
10-Jan-13,15.0087,12.06,240.295,15.35,112.62,13.454,16.77,61.86,352.22,55.7193,29.181,57.77,16.9956,15.6869
11-Jan-13,14.8358,12.01,239.8367,15.31,112.072,13.36,16.71,61.25,350.64,55.5441,29.186,57.51,17.008,15.7075
14-Jan-13,14.9228,12.13,242.7866,15.47,113.198,13.497,16.91,61.79,354.38,55.9514,29.565,57.95,16.9893,15.6966
15-Jan-13,14.9415,12.19,244.046,15.53,114.201,13.587,17.02,61.57,355.45,56.1357,29.703,58.05,17.0094,15.7016
16-Jan-13,14.8355,12.07,241.9358,15.38,113.348,13.383,16.88,60.98,352.47,55.8194,29.301,57.77,17.0313,15.7307
17-Jan-13,14.7815,12.13,243.745,15.48,114.265,13.417,17,61,353.43,56.0412,29.461,57.99,17.0202,15.7182
18-Jan-13,14.7654,12.21,243.8667,15.57,115.065,13.392,17.01,60.64,354.03,55.9992,29.628,57.92,17.0287,15.7201
21-Jan-13,14.7231,12.24,244.2003,15.64,115.716,13.38,17.05,60.68,354.4,56.034,29.686,57.9,17.0369,15.7281
22-Jan-13,14.6771,12.17,243.1072,15.52,115.152,13.325,16.95,60.13,352.36,55.9355,29.402,57.63,17.0703,15.7569
23-Jan-13,14.6657,12.16,243.6746,15.51,115.39,13.328,16.99,59.86,351.68,55.9652,29.325,57.54,17.0642,15.7447
24-Jan-13,14.5841,12.07,241.7321,15.43,114.375,13.129,16.83,59.19,349.44,55.7126,28.848,57.13,17.0876,15.7633
25-Jan-13,14.742,12.17,243.516,15.59,115.125,13.265,16.96,59.94,352.36,55.915,29.211,57.5,17.0777,15.7618
28-Jan-13,14.7486,12.16,243.5067,15.59,114.967,13.276,17.02,60.1,352.93,55.9027,29.176,57.64,17.0941,15.7767
29-Jan-13,14.7659,12.1,242.105,15.5,114.383,13.206,16.91,60.04,351.52,55.7992,28.965,57.7,17.1003,15.7761
30-Jan-13,14.7417,12.12,242.2025,15.51,114.493,13.209,16.91,59.88,351.62,55.8533,28.927,57.85,17.0909,15.7802
31-Jan-13,14.7035,12.09,241.3817,15.43,114.009,13.226,16.87,60.4,351.52,55.7202,28.909,57.93,17.1089,15.8031
01-Feb-13,14.6678,12.04,240.7152,15.36,113.81,13.185,16.86,60.47,351.12,55.6201,28.672,57.75,17.0954,15.7803
04-Feb-13,14.6757,11.99,239.8561,15.32,112.963,13.121,16.82,59.8,349.79,55.3919,28.47,57.39,17.1388,15.8146
05-Feb-13,14.6125,11.93,238.8297,15.22,112.015,13.051,16.7,59.46,348.12,55.1483,28.21,57.18,17.1163,15.7854
06-Feb-13,14.6722,11.93,238.6343,15.24,111.941,13.05,16.72,59.36,348.26,55.0405,28.143,57.11,17.1323,15.8149
07-Feb-13,14.6517,11.88,237.7795,15.17,111.184,12.99,16.66,58.98,347.09,55.0073,27.977,56.99,17.1367,15.8143
