Date,SBI_Bluechip,SBI_FocusedEq,Axis_Equity,CanaraRobeco_Bluechip,ICICI_FocusedEq,Franklin_Bluechip
31-01-2013,1.009,0.9828,0.9858,1.0058,1.0151,1.0127
28-02-2013,0.959,0.9226,0.9597,0.9444,0.9355,0.9522
28-03-2013,0.9959,0.9596,0.9968,0.9948,0.9827,0.981
30-04-2013,1.0337,1.0292,1.0458,1.0403,1.0399,1.0339
31-05-2013,0.9952,1.0063,1.0211,0.9917,0.982,0.9943
28-06-2013,0.9744,0.941,0.978,0.9781,0.9843,0.9754
31-07-2013,0.9663,0.9301,0.979,0.9949,0.9746,0.9604
30-08-2013,0.9521,0.9546,0.9587,0.9649,0.983,0.9571
30-09-2013,1.0461,1.0333,1.0413,1.0237,1.0362,1.0463
31-10-2013,1.0865,1.0382,1.0873,1.0767,1.0939,1.0914
29-11-2013,0.9888,1.0369,1.0347,0.9739,0.9895,0.9828
31-12-2013,1.0215,1.0346,1.0234,1.0129,1.0262,1.0178
31-01-2014,0.9818,0.9595,0.9706,0.9601,0.9599,0.9621
28-02-2014,1.0421,1.0135,1.0661,1.0411,1.0404,1.0314
31-03-2014,1.0599,1.0786,1.0823,1.0756,1.0901,1.0859
30-04-2014,1.0031,1.0249,1.0131,1.0083,1.0028,0.9897
30-05-2014,1.0889,1.1037,1.1001,1.0921,1.0875,1.0898
30-06-2014,1.0595,1.0784,1.0658,1.0261,1.0358,1.0356
31-07-2014,1.0127,1.0262,1.0282,1.0013,1.0079,1.0065
28-08-2014,1.0539,1.0416,1.0706,1.0512,1.0611,1.0455
30-09-2014,1.0163,1.025,1.0233,0.9926,0.9931,0.9949
31-10-2014,1.0428,1.0124,1.047,1.0473,1.0533,1.0576
28-11-2014,1.0371,1.0391,1.0441,1.0344,1.0371,1.0411
31-12-2014,0.9943,1.0315,1.0139,0.9793,0.9668,0.9765
30-01-2015,1.0611,1.0404,1.0556,1.0639,1.057,1.0614
27-02-2015,1.0135,0.9845,1.0085,1.0017,0.9967,1.0033
31-03-2015,0.9804,0.9825,0.9874,0.9567,0.9425,0.9679
30-04-2015,0.9601,0.9678,0.9548,0.9503,0.964,0.9586
29-05-2015,1.0167,0.9902,1.0186,1.0086,1.0121,1.0328
30-06-2015,1.0096,1.0014,0.9989,0.9932,0.9742,0.9879
31-07-2015,1.0235,1.0317,1.0156,1.0328,1.0074,1.023
31-08-2015,0.9455,0.9696,0.9783,0.9328,0.932,0.9442
30-09-2015,1.0169,1.0126,1.0148,1.024,1.0246,1.0193
30-10-2015,1.0144,1.0367,1.0099,1.0023,1.019,1.0174
30-11-2015,0.9995,0.9916,0.9783,0.9895,1.0077,0.9874
31-12-2015,1.0072,1.0144,1.0139,0.9988,0.9846,0.9873
29-01-2016,0.9609,0.9304,0.9589,0.9478,0.9348,0.9568
29-02-2016,0.9241,0.9325,0.9167,0.9208,0.9302,0.9345
31-03-2016,1.0709,1.0745,1.0536,1.0825,1.0896,1.0803
29-04-2016,1.0244,1.0548,1.0202,1.0164,1.02,1.0253
31-05-2016,1.0355,1.0039,1.0395,1.0299,1.0422,1.0431
30-06-2016,1.0139,1.0137,1.0124,1.0151,1.0466,1.0228
29-07-2016,1.0473,1.0492,1.0582,1.0511,1.057,1.03
31-08-2016,1.0106,1.035,1.001,1.0302,1.012,1.0196
30-09-2016,0.9996,0.9978,0.9904,0.9906,0.9921,0.9854
