Date,HDFC_EqH,SBI_EqH,AdityaBirla_EqH,Franklin_EqH
31-01-2013,0.9983,1.0213,1.0075,1.0103
28-02-2013,0.9163,0.9633,0.9548,0.9613
28-03-2013,0.9805,0.9828,0.9847,0.9856
30-04-2013,1.0179,1.0253,1.0385,1.0324
31-05-2013,0.9616,1.021,0.9954,1.0202
28-06-2013,0.9466,0.9688,0.9769,0.9716
31-07-2013,0.9373,0.9754,0.9668,0.9703
30-08-2013,0.9788,0.9703,0.9845,0.9516
30-09-2013,1.0385,1.0293,1.0326,1.0367
31-10-2013,1.1214,1.0634,1.0655,1.0722
29-11-2013,1.0113,1.024,0.9946,0.9999
31-12-2013,1.0306,1.0272,1.0228,1.0109
31-01-2014,0.9437,0.9743,0.9736,0.9801
28-02-2014,1.0381,1.0165,1.0372,1.0355
31-03-2014,1.1153,1.0642,1.0719,1.0639
30-04-2014,1.0203,1.025,1.0136,1.003
30-05-2014,1.1499,1.0564,1.0975,1.0699
30-06-2014,1.071,1.0569,1.0484,1.0439
31-07-2014,0.9704,1.0203,0.9956,1.0163
28-08-2014,1.054,1.0482,1.0374,1.0443
30-09-2014,0.993,1.0189,1.0124,1.0225
31-10-2014,1.0422,1.0262,1.0405,1.0451
28-11-2014,1.0417,1.0359,1.0453,1.0422
31-12-2014,0.983,1.0176,1.0112,1.009
30-01-2015,1.0388,1.0556,1.0391,1.0534
27-02-2015,0.9884,0.9881,0.9998,0.9935
31-03-2015,0.9398,0.9864,0.9705,0.9832
30-04-2015,0.975,0.9812,0.9677,0.967
29-05-2015,1.0068,1.0031,1.0119,1.0232
30-06-2015,0.9792,0.9982,0.9955,0.9928
31-07-2015,1.0467,1.0207,1.0247,1.0233
31-08-2015,0.9159,0.9688,0.9593,0.9671
30-09-2015,1.0281,1.015,1.0189,1.018
30-10-2015,1.0141,1.0189,1.0121,1.0061
30-11-2015,1.0451,1.0053,0.9974,0.9938
31-12-2015,0.9783,1.006,1.006,0.9925
29-01-2016,0.8729,0.9582,0.9618,0.9693
29-02-2016,0.8726,0.9433,0.9322,0.9501
31-03-2016,1.1076,1.0569,1.0602,1.0594
29-04-2016,1.0244,1.0144,1.0244,1.0216
31-05-2016,1.0427,1.0183,1.0319,1.0231
30-06-2016,1.0426,1.022,1.0273,1.0236
29-07-2016,1.04,1.0326,1.0452,1.027
31-08-2016,1.0232,1.0105,1.0182,1.0242
30-09-2016,0.996,1.0013,0.9997,0.9923
28-10-2016,1,1.0161,0.9981,0.9942
30-11-2016,0.9612,0.9628,0.9613,0.9794
30-12-2016,0.9803,0.9714,0.9869,0.9824
31-01-2017,1.0618,1.0354,1.04,1.0292
28-02-2017,0.9943,1.0117,1.0131,1.0114
31-03-2017,1.0443,1.0204,1.0341,1.0137
28-04-2017,1.0314,1.0098,1.016,1.0134
31-05-2017,1.0194,1.0151,1.0049,1.0171
30-06-2017,0.9709,1.0147,1.0064,1
31-07-2017,1.0543,1.0431,1.0346,1.032
31-08-2017,0.9722,0.9918,1.0005,0.991
29-09-2017,0.9723,0.9955,0.9902,0.9896
31-10-2017,1.0769,1.0476,1.0274,1.0303
30-11-2017,1.0029,1.0052,0.9982,0.999
29-12-2017,1.0428,1.0244,1.028,1.0291
31-01-2018,1.012,1.009,0.9997,1.0097
28-02-2018,0.9474,0.9735,0.971,0.9701
28-03-2018,0.9485,0.9847,0.9897,0.9866
30-04-2018,1.0198,1.0344,1.0316,1.0259
31-05-2018,0.972,0.9959,0.9893,1.0091
29-06-2018,0.9826,0.9862,0.9853,0.9858
31-07-2018,1.0388,1.0381,1.0371,1.0264
31-08-2018,1.0241,1.019,1.0241,1.0318
28-09-2018,0.9438,0.9483,0.9268,0.952
31-10-2018,0.9834,0.9804,0.9799,0.9711
30-11-2018,1.0251,1.0307,1.0202,1.0187
31-12-2018,1.0079,1.017,1.0086,1.0125
31-01-2019,0.9906,0.9796,0.9799,0.9943
28-02-2019,0.9902,1.0012,0.9942,0.9911
29-03-2019,1.0672,1.0606,1.0506,1.0565
30-04-2019,0.9871,0.9973,0.9888,0.9977
31-05-2019,1.0267,1.0295,1.0184,1.015
28-06-2019,0.9906,0.9871,0.9883,0.9945
31-07-2019,0.9552,0.974,0.9548,0.9522
30-08-2019,0.996,1.0006,0.997,1.0012
30-09-2019,1.0449,1.0572,1.0459,1.0535
31-10-2019,1.0208,1.0264,1.0305,1.0277
29-11-2019,1.0115,1.0177,1.0037,1.0067
31-12-2019,1.0057,1.0062,1.0093,1.0059
31-01-2020,0.9967,1.0111,0.9895,0.9998
28-02-2020,0.9748,0.9862,0.956,0.9676
31-03-2020,0.8087,0.828,0.8017,0.8218
30-04-2020,1.133,1.1043,1.1384,1.1099
29-05-2020,1.0137,1.0155,1.0079,1.0286
30-06-2020,1.0463,1.0414,1.0452,1.0323
31-07-2020,1.0367,1.0391,1.0454,1.0405
31-08-2020,1.0489,1.0277,1.0384,1.0446
30-09-2020,0.9736,0.9698,1.0022,0.9725
30-10-2020,1.0142,1.0121,1.0161,1.0273
27-11-2020,1.0959,1.0984,1.0977,1.0985
31-12-2020,1.0491,1.0458,1.048,1.036
29-01-2021,0.993,0.979,0.9826,1.0023
26-02-2021,1.0389,1.0334,1.0282,1.0354
31-03-2021,0.9846,0.9967,1.0019,0.9931
30-04-2021,0.9922,1.0008,0.9992,0.9968
31-05-2021,1.0679,1.0429,1.0446,1.0507
30-06-2021,1.0194,1.0186,1.0279,1.026
30-07-2021,1.0191,1.0229,1.0258,1.0125
31-08-2021,1.0256,1.0442,1.0403,1.0364
30-09-2021,1.0217,1.0256,1.017,1.0171
29-10-2021,1.0183,1.0035,1.0078,1.0065
30-11-2021,0.9645,0.9739,0.9629,0.9621
31-12-2021,1.0096,1.0112,1.0068,1.0047
31-01-2022,1.0047,0.9829,0.9806,0.9977
28-02-2022,0.9631,0.9777,1.0007,0.9536
31-03-2022,1.0333,1.0338,1.0289,1.0289
29-04-2022,0.982,0.9841,0.9717,0.9836
31-05-2022,0.9758,0.9717,0.951,0.9815
30-06-2022,0.9691,0.9624,0.9671,0.9654
29-07-2022,1.0678,1.07,1.0649,1.0618
30-08-2022,1.0289,1.017,1.017,1.029
30-09-2022,0.9832,0.9951,0.9791,0.9945
31-10-2022,1.0494,1.0276,1.0358,1.0423
30-11-2022,1.0277,1.0076,1.0062,1.0226
30-12-2022,0.9835,0.9786,0.9695,0.973
