Date,Nifty_50_Arb,S&P_BSE_100,Nifty_500,Nifty_100,S&P_BSE_500
01-Jan-13,1197.9,6029.23,4786.2,5896.9,7650.75
02-Jan-13,1199.9,6072.94,4818.9,5938.2,7703.19
03-Jan-13,1201.6,6089.22,4835.7,5956.5,7729.66
04-Jan-13,1201.4,6095.15,4844,5961.2,7742.53
07-Jan-13,1201.2,6075.15,4831.4,5939.2,7725.93
08-Jan-13,1200.5,6084.28,4837.9,5949.9,7734.13
09-Jan-13,1202.4,6060.09,4815.7,5922.8,7701.59
10-Jan-13,1201.5,6054.24,4809.2,5918.8,7689.48
11-Jan-13,1202.7,6027.9,4778.1,5892.7,7641.13
14-Jan-13,1202.1,6105.26,4836.7,5966.9,7734.11
15-Jan-13,1203.3,6132.59,4858.9,5996.8,7763.87
16-Jan-13,1204.3,6072.98,4807.5,5938.4,7684.99
17-Jan-13,1204.7,6113.61,4831.3,5970.6,7728.04
18-Jan-13,1205.4,6131.39,4844,5988,7743.27
21-Jan-13,1205.2,6150.79,4856,6005.1,7764.36
22-Jan-13,1205.4,6108.99,4822.3,5967.5,7710.18
23-Jan-13,1205.4,6106.09,4814.8,5968.4,7694.86
24-Jan-13,1207.3,6054.01,4763.8,5923.7,7610.2
25-Jan-13,1207.6,6121.08,4816.4,5984,7696.35
28-Jan-13,1207.4,6124.92,4818.3,5985.4,7701.87
29-Jan-13,1207.9,6093.8,4794.8,5957.7,7661.06
30-Jan-13,1207.3,6099.75,4797.1,5961.4,7667.05
31-Jan-13,1208,6091.49,4795.3,5950.9,7665.74
01-Feb-13,1207.4,6064.75,4775.9,5923.4,7636.78
04-Feb-13,1211.3,6039.25,4759.2,5909.6,7600.96
05-Feb-13,1210.4,6012.91,4733.6,5880,7563.84
06-Feb-13,1211,6018.86,4738.1,5885.8,7570.57
07-Feb-13,1209.9,5992.97,4713.2,5861.9,7530.01
08-Feb-13,1210.5,5952.1,4682.5,5826.2,7479.3
11-Feb-13,1210,5947.17,4677.8,5821,7472.69
12-Feb-13,1210.7,5968.82,4690.3,5844,7491.83
13-Feb-13,1212.9,5966.86,4688.4,5846.5,7485.09
14-Feb-13,1213,5921.87,4650.3,5804,7419.94
15-Feb-13,1212.9,5916.97,4647.2,5798.1,7416.24
18-Feb-13,1213.1,5930.31,4659.6,5810.9,7437.83
19-Feb-13,1212.3,5979.48,4697.1,5853.8,7503.39
20-Feb-13,1211.4,5978.97,4698.3,5855.3,7505.17
21-Feb-13,1214.1,5876.83,4621.7,5760.9,7379.41
22-Feb-13,1213.8,5882.43,4621.8,5762.3,7384.79
25-Feb-13,1214.2,5876.26,4611.6,5761.3,7365.7
26-Feb-13,1213.9,5784.46,4537.1,5672.3,7248.08
27-Feb-13,1214.6,5830.05,4568.2,5711.9,7300.19
28-Feb-13,1214.8,5720.1,4477.5,5605,7163.69
01-Mar-13,1218.8,5741.04,4499.7,5635,7188.55
04-Mar-13,1217.9,5711.42,4470.1,5609.9,7139.63
05-Mar-13,1218,5799.83,4539,5693.9,7250.28
06-Mar-13,1217.5,5838.3,4570.4,5727,7302.59
07-Mar-13,1217.2,5881.74,4601.5,5767.6,7353.31
08-Mar-13,1217.8,5962.08,4660.6,5845.8,7444.69
11-Mar-13,1219.1,5955.96,4661.2,5844.3,7442.65
12-Mar-13,1218.1,5926.23,4636.9,5812.8,7407.21
13-Mar-13,1219,5858.9,4585,5746.6,7324.26
14-Mar-13,1217.2,5921.02,4625.7,5803.1,7391.39
15-Mar-13,1218.1,5887.09,4598.2,5768.7,7347.3
18-Mar-13,1219.8,5845.47,4572.6,5737,7300.54
19-Mar-13,1221.2,5751.2,4500.8,5644.9,7185.87
20-Mar-13,1219.2,5692.99,4446,5585.2,7104.52
21-Mar-13,1221.5,5651.86,4413.5,5549.5,7048.45
22-Mar-13,1220.3,5641.78,4404.5,5543.1,7031.75
25-Mar-13,1221.4,5624.15,4390.3,5523.4,7010.02
26-Mar-13,1223.3,5627.48,4394.6,5531.2,7012.77
28-Mar-13,1223.3,5678.7,4438.3,5578.9,7084.96
01-Apr-13,1225,5700.58,4465.6,5604.9,7123.95
02-Apr-13,1225.7,5756.67,4508.8,5653.3,7198.2
03-Apr-13,1226.2,5684.32,4457.2,5580.6,7116.05
04-Apr-13,1225.8,5587.41,4378.6,5485,6994.6
05-Apr-13,1225.8,5569.58,4366.6,5466.6,6975.85
08-Apr-13,1226.4,5565.11,4361.1,5460.7,6968.26
09-Apr-13,1228,5508.52,4323.4,5414.1,6897.91
10-Apr-13,1228.2,5570.52,4366.4,5475.1,6965.18
11-Apr-13,1228.9,5603.11,4388,5506.9,6998.72
12-Apr-13,1228.1,5553.82,4352.7,5457.3,6944.14
15-Apr-13,1229.4,5586.59,4376,5488.5,6978.19
16-Apr-13,1228.4,5700.08,4457.5,5601.2,7103.02
17-Apr-13,1228.7,5703.27,4461.7,5603.7,7109.67
18-Apr-13,1229.6,5788.95,4526.8,5693.6,7204.83
22-Apr-13,1230.2,5844.67,4574.4,5749.6,7275.57
23-Apr-13,1229.2,5843.45,4572.4,5747.8,7272.52
25-Apr-13,1230.2,5912.35,4624.3,5820.5,7349.71
26-Apr-13,1228.8,5868.79,4591.6,5779.4,7299.22
29-Apr-13,1229.4,5908.17,4620.9,5816.4,7347.2
30-Apr-13,1231.5,5941.35,4641.7,5846.2,7385.25
02-May-13,1230.5,6012.07,4695,5917.3,7466.33
03-May-13,1231,5966.26,4659.1,5868.8,7414.09
06-May-13,1231.8,5994.07,4685.6,5897.4,7456.13
07-May-13,1231.1,6059.84,4737.5,5967.2,7533.35
08-May-13,1231.2,6080.25,4754.4,5986.7,7558.77
09-May-13,1232.3,6062.2,4737.7,5968,7534.53
10-May-13,1231,6103.22,4769.2,6012.4,7579.68
13-May-13,1231.2,5995.86,4689.7,5906.1,7458.16
14-May-13,1231.7,6009.43,4702.5,5921.6,7476.38
15-May-13,1231.3,6155.52,4810.9,6065,7643.24
16-May-13,1232.2,6179.96,4830.2,6090.8,7673
17-May-13,1232.2,6200.39,4847.1,6112.3,7695.35
20-May-13,1232.6,6172.77,4821.9,6076.7,7662.25
21-May-13,1233.3,6131.3,4788.2,6034.3,7609.99
22-May-13,1232.5,6107.11,4766.8,6013.1,7575.63
23-May-13,1234,5980.25,4668.2,5890.8,7422.53
24-May-13,1233.7,6003.89,4685.6,5911.6,7448.78
27-May-13,1234.2,6095.31,4756.4,6005.9,7556.31
28-May-13,1235,6121.85,4777,6030.6,7591.26
29-May-13,1236.7,6105.18,4766.6,6019.8,7571.19
30-May-13,1236.4,6120.22,4774,6035.5,7584.36
31-May-13,1236.7,5991.11,4681.4,5912.6,7441.89
03-Jun-13,1236.2,5956.48,4659.3,5877.8,7408.14
04-Jun-13,1237.2,5941.67,4652.5,5867,7398.23
05-Jun-13,1237.1,5947.19,4656.5,5872,7403.22
06-Jun-13,1237.4,5941.63,4653.4,5866.6,7397.86
07-Jun-13,1237.6,5901.45,4621.1,5822.2,7351.09
10-Jun-13,1237.7,5885.71,4604.4,5808,7323.22
11-Jun-13,1238.1,5793.6,4529.8,5716.7,7207.09
12-Jun-13,1238.3,5759.83,4502.2,5680.2,7164.91
13-Jun-13,1240,5687.81,4447.4,5615.6,7073.15
14-Jun-13,1241.3,5791.42,4525.9,5719.6,7193.12
17-Jun-13,1241.6,5837.68,4557.5,5764.7,7242.83
18-Jun-13,1241.5,5811.86,4540.7,5738,7219.21
19-Jun-13,1241.3,5824.79,4552.7,5751.3,7238.94
20-Jun-13,1242.6,5660.37,4429.6,5589.1,7047.04
21-Jun-13,1242.4,5664.67,4420.1,5588.6,7036.48
24-Jun-13,1242.1,5574.14,4345.6,5504,6914.47
25-Jun-13,1242,5594.87,4350.1,5518.5,6924.33
26-Jun-13,1243.1,5571.34,4335.5,5500.1,6897.1
27-Jun-13,1242.9,5659.41,4393.9,5583.9,6993.04
28-Jun-13,1243.8,5802.3,4510.9,5736.3,7164.06
01-Jul-13,1244.8,5882.24,4572,5809,7267.11
02-Jul-13,1243.8,5850.66,4542.8,5768.3,7231.21
03-Jul-13,1244.5,5753.89,4473.3,5681.5,7114.39
04-Jul-13,1244,5814.46,4517.7,5741.1,7182.3
05-Jul-13,1243.8,5839.05,4535.8,5767.8,7209.1
08-Jul-13,1242.6,5800.14,4501.2,5720.7,7164.93
09-Jul-13,1243.8,5847.05,4539.9,5771.8,7219.93
10-Jul-13,1244.9,5811.13,4511.4,5732.4,7178.74
11-Jul-13,1244.8,5916.62,4586.4,5838,7292.93
12-Jul-13,1246.1,5982.81,4630.9,5905,7361.74
15-Jul-13,1246.1,6017.65,4655.7,5930.8,7410.65
16-Jul-13,1244.4,5943.86,4596.5,5856.2,7321.25
17-Jul-13,1246.8,5953.24,4597.7,5865.1,7326.64
18-Jul-13,1245.1,6019.67,4647.5,5932.9,7400.95
19-Jul-13,1245.3,6008.8,4632.7,5919.4,7382.82
22-Jul-13,1245.8,6006.97,4631.1,5919.5,7378.71
23-Jul-13,1246.3,6049.89,4660.7,5962.8,7422.61
24-Jul-13,1245.9,5962.24,4588.2,5873,7312.48
25-Jul-13,1247.7,5884.34,4531.8,5797.1,7222.92
26-Jul-13,1247.5,5855.45,4507.2,5771.5,7181.31
29-Jul-13,1246.9,5800.19,4459.9,5715.4,7109.88
30-Jul-13,1247.7,5713.55,4390.3,5633.7,6999.47
31-Jul-13,1248.3,5707.16,4379.6,5623.8,6985.56
01-Aug-13,1249.1,5678.86,4354,5598.4,6940.93
02-Aug-13,1250.1,5625.88,4314.9,5545.8,6880.49
05-Aug-13,1248.9,5641.88,4323.3,5558.2,6898.27
06-Aug-13,1250,5500.35,4214.1,5419,6725.54
07-Aug-13,1249.5,5493.95,4213.8,5410.8,6727.28
08-Aug-13,1251.3,5540.32,4250.3,5455.5,6784.9
12-Aug-13,1253.8,5590.74,4293.2,5504.4,6853.27
13-Aug-13,1254.1,5683.15,4360.6,5593.3,6959.03
14-Aug-13,1255.1,5723.25,4392,5635.4,7008.8
16-Aug-13,1256.6,5489.09,4224.3,5406.5,6742.47
19-Aug-13,1256.2,5396.59,4151.9,5309.1,6631.17
20-Aug-13,1257.1,5381.08,4138.4,5290.1,6610.68
21-Aug-13,1258.4,5281.19,4069.4,5196.7,6497.52
22-Aug-13,1256,5393.58,4136.1,5293.4,6617.08
23-Aug-13,1258.6,5451.9,4183.6,5357.3,6685.37
26-Aug-13,1258.7,5464.17,4194.5,5365.4,6704.61
27-Aug-13,1257.8,5280.86,4060.7,5182.5,6495.66
28-Aug-13,1256.9,5272.96,4047.7,5170.9,6476.55
29-Aug-13,1257.6,5388.44,4132.8,5288.3,6608.59
30-Aug-13,1261,5447.15,4175.8,5348.4,6673.96
02-Sep-13,1258.5,5528.88,4235.2,5425.9,6770.03
03-Sep-13,1259,5338.68,4092.9,5227.7,6556.56
04-Sep-13,1258.1,5438.78,4164.5,5328,6666.98
05-Sep-13,1258,5571.77,4264,5465.4,6819.39
06-Sep-13,1258.1,5651.81,4319.4,5543.3,6908.13
10-Sep-13,1259.6,5849.84,4463.5,5745.6,7127.7
11-Sep-13,1257.5,5874.83,4489.4,5769.3,7169.63
